,Participant,Presentation,elab.decay,elab.temp,elab.ter,elab.LL,med.decay,med.temp,med.ter,med.LL,best.model,diff.LL
64,sub07,4,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
65,sub07,5,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
66,sub07,6,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
67,sub07,7,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
68,sub07,8,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
69,sub07,9,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
70,sub08,0,0.1750185094492711,0.48552170626657537,0.7847642104649484,-318.93880839414993,0.09040105547634203,0.3312387762180289,0.20678787130088278,-264.2149625133652,Mediator,54.72384588078472
71,sub08,1,1.2422482577786784,0.7639320225002102,1.2742645786248001,-345.8290320221546,0.03212022145129172,0.4917362921013585,1.2742645786248001,-281.91042559995714,Mediator,63.918606422197456
72,sub08,2,0.7697679525470018,0.6112089266287062,0.2738737335071073,-277.66201716158656,0.07093634441307918,0.4639705043305998,0.19301479417360645,-225.679183963375,Mediator,51.98283319821155
73,sub08,3,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
74,sub08,4,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
75,sub08,5,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
76,sub08,6,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
77,sub08,7,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
78,sub08,8,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
79,sub08,9,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
80,sub09,0,0.13570272570806816,0.44176046663321117,0.49090987786779694,-463.8433925496734,0.08335376164194855,0.382564576166826,0.3060976346036045,-395.4593850560562,Mediator,68.38400749361722
81,sub09,1,0.14723495819364532,0.5137979679406235,0.7198520503736014,-449.0015754424759,0.05800321795893119,0.3203973588711703,0.18155453564890314,-348.2184098233228,Mediator,100.78316561915307
82,sub09,2,0.18943818806145374,0.48841692602408826,0.3117667420031966,-390.6708241193468,0.08188643770869566,0.49983998547297304,0.4103861808018511,-351.84995138303753,Mediator,38.82087273630924
83,sub09,3,0.1957524551961404,0.4131213622045645,0.2724849427625082,-281.9626680976934,0.08508146063471746,0.37317294623454966,0.19183174786607554,-239.04841926221647,Mediator,42.91424883547691
84,sub09,4,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
85,sub09,5,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
86,sub09,6,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
87,sub09,7,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
88,sub09,8,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
89,sub09,9,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
90,sub10,0,0.12983554989785606,0.4661400891219388,0.24952013066854004,-511.07723302725475,0.02893562615368881,0.333853193657712,0.2770836866004224,-422.11744623952546,Mediator,88.95978678772929
