"","participant","cue","phase","condition","target","response","rt","correct","Column1","Column2","pred_correct"
"169",1007,"LATIN","test","error","FRENCH","FRENCH",1982,1,NA,"",0.682501198645761
"170",1007,"CRUNCH","test","error","NOISE","NOISE",2830,1,NA,"",0.682501198645761
"171",1007,"INTRODUCE","test","error","PRESENT","GREET",13486,0,NA,"",0.682501198645761
"172",1007,"MEASUREMENT","test","error","HEIGHT","HEIGHT",8622,1,NA,"",0.682501198645761
"173",1007,"PORTRAY","test","error","SHOW","SHOW",1838,1,NA,"",0.682501198645761
"174",1007,"EYES","test","error","COLOR","COLOR",3390,1,NA,"",0.682501198645761
"175",1007,"ROBIN","test","error","RED","RED",1422,1,NA,"",0.682501198645761
"176",1007,"CHUNK","test","error","BLOCK","BLOCK",2813,1,NA,"",0.682501198645761
"177",1007,"DANCER","test","error","MUSIC","MUSIC",7534,1,NA,"",0.682501198645761
"178",1007,"CANYON","test","error","MOUNTAIN","VALLEY",4446,0,NA,"",0.682501198645761
"179",1007,"COURAGEOUS","test","error","LION","BRAVE",2509,0,NA,"",0.682501198645761
"180",1007,"SAIL","test","error","OCEAN","OCEAN",2733,1,NA,"",0.682501198645761
"181",1007,"HONEYMOON","test","error","ROMANCE","ROMANCE",2046,1,NA,"",0.682501198645761
"182",1007,"EMPIRE","test","error","STATE","KING",6477,0,NA,"",0.682501198645761
"183",1007,"GLIDE","test","error","HANG","HANG",1678,1,NA,"",0.682501198645761
"184",1007,"STERN","test","error","BOAT","STRICT",4221,0,NA,"",0.682501198645761
"185",1007,"ORDER","test","error","FORM","LAW",6813,0,NA,"",0.682501198645761
"186",1007,"SIDE","test","error","ORDER","LEFT",7821,0,NA,"",0.682501198645761
"187",1007,"TEA","test","error","LEAVES","POT",4877,0,NA,"",0.682501198645761
"188",1007,"PRESCRIPTION","test","error","PILL","PILLS",2604,1,NA,"change 2>1 bc plural",0.682501198645761
"189",1007,"DIAMETER","test","error","LENGTH","LENGTH",4141,1,NA,"",0.682501198645761
"190",1007,"DRACULA","test","error","SCARY","SCARY",1726,1,NA,"",0.682501198645761
"191",1007,"WELL","test","error","DONE","WATER",7038,0,NA,"",0.682501198645761
"192",1007,"SAFARI","test","error","DESERT","DESERT",1966,1,NA,"",0.682501198645761
"193",1007,"LAUNDRY","test","error","SOAP","SOAP",2733,1,NA,"",0.682501198645761
"194",1007,"SWING","test","error","TREE","TREE",1837,1,NA,"",0.682501198645761
"195",1007,"CHIMNEY","test","error","BRICK","BRICK",2686,1,NA,"",0.682501198645761
"196",1007,"FUGITIVE","test","error","RUN","ROBBER",7053,0,NA,"",0.682501198645761
"197",1008,"FUGITIVE","test","error","RUN","RUN",5407,1,NA,"",0.862111391141077
"198",1008,"LAUNDRY","test","error","SOAP","WASH",12063,0,NA,"",0.862111391141077
"199",1008,"MEASUREMENT","test","error","HEIGHT","HEIGHT",8303,1,NA,"",0.862111391141077
"200",1008,"TEA","test","error","LEAVES","LEAVES",3903,1,NA,"",0.862111391141077
"201",1008,"PORTRAY","test","error","SHOW","SHOW",2878,1,NA,"",0.862111391141077
"202",1008,"ROBIN","test","error","RED","RED",2510,1,NA,"",0.862111391141077
"203",1008,"SIDE","test","error","ORDER","ORDER",8511,1,NA,"",0.862111391141077
