"","participant","condition","type","Accuracy","cond"
"116",1031,"study","Predicted",0.693796429165436,0.997943499851972
"117",1032,"error","Observed",0.571428571428571,1.96824681129307
"118",1032,"error","Predicted",0.610570291785847,1.99680765997618
"119",1032,"study","Observed",0.5,0.981618045847863
"120",1032,"study","Predicted",0.49539511513008,0.998284155456349
"121",1033,"error","Observed",0.615384615384615,1.99598193537444
"122",1033,"error","Predicted",0.628969834696925,1.97906134039164
"123",1033,"study","Observed",0.5,1.01708364306949
"124",1033,"study","Predicted",0.514913032365005,1.00860689538531
"125",1035,"error","Observed",0.814814814814815,2.01982318069786
"126",1035,"error","Predicted",0.819199308163596,2.03393843114376
"127",1035,"study","Observed",0.785714285714286,1.00721896480769
"128",1035,"study","Predicted",0.739390298157728,1.00544096176513
"129",1036,"error","Observed",0.857142857142857,2.03537220567465
"130",1036,"error","Predicted",0.768830403627115,1.9680446841009
"131",1036,"study","Observed",0.607142857142857,0.992636678693816
"132",1036,"study","Predicted",0.675592288317573,1.0132240516413
"133",1037,"error","Observed",0.730769230769231,1.99433609852567
"134",1037,"error","Predicted",0.820230793395356,1.99093491982669
"135",1037,"study","Observed",0.862068965517241,1.00265155794099
"136",1037,"study","Predicted",0.740732998588764,0.983486564345658
"137",1038,"error","Observed",0.740740740740741,2.02825156548992
"138",1038,"error","Predicted",0.783479310029641,2.02321617042646
"139",1038,"study","Observed",0.758620689655172,0.99063400965184
"140",1038,"study","Predicted",0.693796429165436,1.01132725895382
"141",1039,"error","Observed",0.785714285714286,1.98767388975248
"142",1039,"error","Predicted",0.710331039987117,2.01946336532012
"143",1039,"study","Observed",0.533333333333333,0.989719641478732
"144",1039,"study","Predicted",0.60560195348476,0.989799354365095
"145",1040,"error","Observed",0.407407407407407,2.03359186880291
"146",1040,"error","Predicted",0.543878324453448,1.99921883529052
"147",1040,"study","Observed",0.5,0.990570533685386
"148",1040,"study","Predicted",0.427474128675339,0.985723894415423
"149",1041,"error","Observed",0.740740740740741,2.01640180248767
"150",1041,"error","Predicted",0.67168484101503,2.03978182744235
"151",1041,"study","Observed",0.482758620689655,0.983701009368524
"152",1041,"study","Predicted",0.561606654002092,0.99851121279411
"153",1042,"error","Observed",0.785714285714286,2.03891490956768
"154",1042,"error","Predicted",0.737581088826656,1.99717154061422
"155",1042,"study","Observed",0.6,1.0101566582825
"156",1042,"study","Predicted",0.637678848196328,1.00414334837347
"157",1043,"error","Observed",0.703703703703704,2.01217122806236
"158",1043,"error","Predicted",0.75179550294378,1.99284559510648
"159",1043,"study","Observed",0.714285714285714,1.00686198552139
"160",1043,"study","Predicted",0.654771828212151,0.99740198738873
"161",1044,"error","Observed",0.875,2.01056030798703
