participant,phase,condition,cue,target,response,rt,correct,Column1,Column2
1002,test,2,SALES,CLOTHES,CLOTHES,2271,1,,
1002,test,1,SWING,TREE,SET,2750,2,,
1002,test,2,FILTHY,DIRT,DIRT,5758,1,,
1002,test,1,DRACULA,SCARY,SCARY,2206,1,,
1002,test,2,EVICT,APARTMENT,APARTMENT,4926,1,,
1002,test,1,SAFARI,DESERT,DESERT,2718,1,,
1002,test,1,SAIL,OCEAN,BOAT,2878,2,,
1002,test,1,CRUNCH,NOISE,CRACK,2526,2,,
1002,test,2,UNCOMMON,UNIQUE,UNIQUE,2606,1,,
1002,test,2,HUT,ISLAND,BROWN,4462,2,,
1002,test,1,PARCEL,BOX,DELIVERY,2590,2,,
1002,test,1,TEA,LEAVES,LEAVES,3724,1,,
1002,test,1,PORTRAY,SHOW,SEE,5471,2,,
1002,test,1,LATIN,FRENCH,ROOT,4078,2,,
1002,test,2,NOODLES,CHICKEN,CHICKEN,5166,1,,
1002,test,1,COURAGEOUS,LION,BRAVE,6046,2,,
1002,test,1,CANYON,MOUNTAIN,VALLEY,5310,2,,
1002,test,2,ASSISTANCE,HELPER,HELP,3039,2,,
1002,test,2,NITROGEN,CHEMISTRY,CHEMISTRY,2590,1,,
1002,test,1,DANCER,MUSIC,MUSIC,5086,1,,
1002,test,2,STAR,NIGHT,NIGHT,1790,1,,
1002,test,2,ENERGY,SUN,SOLAR,2479,2,,
1002,test,1,SIDE,ORDER,SWING,5166,2,,
1002,test,1,CHIMNEY,BRICK,BRICK,2638,1,,
1002,test,2,SINK,HOLE,WASH,3886,2,,
1002,test,1,CHUNK,BLOCK,BRICK,8191,2,,
1002,test,1,ROBIN,RED,RED,3118,1,,
1002,test,1,GLIDE,HANG,SAIL,3246,2,,
1002,test,2,HOTEL,BED,ROOM,2878,2,,
1002,test,1,MEASUREMENT,HEIGHT,RULAR,5854,2,,
1002,test,2,FREEWAY,ROAD,CAR,3646,2,,
1002,test,1,ELEVATOR,BUILDING,BUILDING,3758,1,,
1002,test,2,TASTY,TREAT,DELICIOUS,4718,2,,
1002,test,1,ORDER,FORM,FORM,2766,1,,
1002,test,2,BLOCKADE,WALL,BARRICADE,7918,2,,
1003,learn,1,PORTRAY,SHOW,,5000,3,,
1003,learn,1,DRACULA,SCARY,FANG,4965,2,,change 3>2 bc full response
1003,learn,1,ORDER,FORM,FOOD,3975,2,,
1003,learn,1,WELL,DONE,BEING,3892,2,,
1003,learn,1,CRUNCH,NOISE,TEETH,4304,2,,change 3>2 bc full response
1003,learn,1,LATIN,FRENCH,AMERICA,4773,2,,change 3>2 bc full response
1003,learn,1,PRESCRIPTION,PILL,DRUG,3207,2,,
1003,learn,1,CHIMNEY,BRICK,SMOKE,3681,2,,
1003,learn,1,SAIL,OCEAN,BOAT,3825,2,,
1003,learn,1,STERN,BOAT,STRICT,4911,2,,
1003,learn,1,SIDE,ORDER,LEFT,3674,2,,
1003,learn,1,FUGITIVE,RUN,ROBBER,4720,2,,
1003,learn,1,HONEYMOON,ROMANCE,LOVE,3794,2,,
1003,learn,1,EMPIRE,STATE,KING,3689,2,,
1003,learn,1,EYES,COLOR,,4569,3,,
1003,learn,1,LAUNDRY,SOAP,CLOTHES,3582,2,,
1003,learn,1,PARCEL,BOX,MAIL,3322,2,,
1003,learn,1,ELEVATOR,BUILDING,LIFT,3412,2,,
1003,learn,1,GLIDE,HANG,SLIDE,4078,2,,
1003,learn,1,CANYON,MOUNTAIN,M,4839,3,,
1003,learn,1,CHUNK,BLOCK,CHOCOLATE,4835,2,,change 3>2 bc full response
1003,learn,1,MEASUREMENT,HEIGHT,LENTGH,4495,2,,
1003,learn,1,DIAMETER,LENGTH,CIRCLE,3748,2,,
1003,learn,1,TEA,LEAVES,MILK,3545,2,,
1003,learn,1,ROBIN,RED,BIRD,3358,2,,
1003,learn,1,INTRODUCE,PRESENT,MEET,4177,2,,
1003,learn,1,SWING,TREE,PLAYGROUND,4803,2,,change 3>2 bc full response
1003,learn,1,DANCER,MUSIC,BALLET,3930,2,,change 3>2 bc full response
1003,learn,1,COURAGEOUS,LION,STRONG,4300,2,,
1003,learn,1,SAFARI,DESERT,ZOO,3431,2,,
1003,test,1,LATIN,FRENCH, FRENCH,8622,1,,change 2>1 bc space infront of correct
1003,test,2,FREEWAY,ROAD,ROAD,7262,1,,
1003,test,2,FILTHY,DIRT,DIRT,2670,1,,
1003,test,1,DANCER,MUSIC,MUSIC,3550,1,,
1003,test,2,HUT,ISLAND,ISLAND,3230,1,,
1003,test,1,PORTRAY,SHOW,PRESENT,4798,2,,
1003,test,2,UNCOMMON,UNIQUE,UNIQUE,4862,1,,
1003,test,1,ELEVATOR,BUILDING,BUILDING,5262,1,,
1003,test,2,TASTY,TREAT,COOKIE,4877,2,,
1003,test,2,MODEL,CAR,CAR,4958,1,,
1003,test,1,ORDER,FORM,FIX,13822,2,,
1003,test,2,GRADUATE,CAP,CAP,3614,1,,
1003,test,1,PRESCRIPTION,PILL,PILL,2766,1,,
1003,test,1,HONEYMOON,ROMANCE,ROMANCE,3310,1,,
1003,test,2,NATURE,FOREST,TREE,3613,2,,
1003,test,2,SOUTH,WEST,WEST,2381,1,,
1003,test,2,LIE,STEAL,CHEAT,5790,2,,
1003,test,1,WELL,DONE,GOOD,5230,2,,
1003,test,1,EMPIRE,STATE,KING,8510,2,,
1003,test,1,MEASUREMENT,HEIGHT,LENGTH,11886,2,,
1003,test,1,SWING,TREE,CHILD,6847,2,,
1003,test,2,CRITIC,ANALYZE,ANALYZE,8045,1,,
1003,test,1,STERN,BOAT,STRONG,8302,2,,
1003,test,2,STAR,NIGHT,CLOUD,9006,2,,
1003,test,1,INTRODUCE,PRESENT,PRESENT,4142,1,,
1003,test,1,GLIDE,HANG,SLIDE,5293,2,,
1003,test,2,VALLEY,LOW,LOW,2253,1,,
1003,test,2,SALES,CLOTHES,BUY,5070,2,,
1003,test,1,DRACULA,SCARY,SCARY,4286,1,,
1003,test,2,COOKOUT,HAMBURGER,BURGER,3405,2,,
1003,test,2,ANNUAL,PICNIC,PICNIC,3965,1,,
1003,test,1,CRUNCH,NOISE,SOUND,7246,2,,
1003,test,1,CANYON,MOUNTAIN,LOW,2238,2,,
1003,test,1,SIDE,ORDER,LENGTH,9102,2,,
1003,test,2,USURP,TAKE,PRESENT,3854,2,,
1003,test,2,BISCUIT,COOKIE,COOKIE,2734,1,,
1003,test,1,CHUNK,BLOCK,COOKIE,11134,2,,
1003,test,2,ANCESTOR,FAMILY,PARENT,4158,2,,
1003,test,1,EYES,COLOR,BALL,4622,2,,
1003,test,1,FUGITIVE,RUN,RUNN,2894,1,,change correct 2>1 bc typo
1003,test,1,CHIMNEY,BRICK,BRICK,4846,1,,
1003,test,2,VISIT,LEAVE,LEAVE,8366,1,,
1003,test,2,BATTERY,RADIO,CAR,2638,2,,
1003,test,2,NOODLES,CHICKEN,CHICKEN,3102,1,,
1003,test,2,BLOCKADE,WALL,BLOCK,7086,2,,
1003,test,2,HOTEL,BED,VACATION,5102,2,,
1003,test,2,ENERGY,SUN,SUN,3502,1,,
1003,test,2,SINK,HOLE,HOLE,3326,1,,
1003,test,1,SAFARI,DESERT,DESERT,5054,1,,
1003,test,2,NITROGEN,CHEMISTRY,CHEMISTRY,3998,1,,
1003,test,1,TEA,LEAVES,LEAVES,4222,1,,
1003,test,2,THEOREM,GEOMETRY,MATH,2910,2,,
1003,test,2,EVICT,APARTMENT,LEAVE,3342,2,,
